"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir02Ox-b13140.2",9.58341915981665e-130,0.277321449855534,0.244,0.067,1.88410020681995e-125,"Chir02Ox-b13140.2"
"Chir06Ox-b36550.2",7.94358068847737e-303,0.421388339370726,0.342,0.069,1.56170796335465e-298,"Chir06Ox-b36550.2"
"Chir02Ox-b17320.2",1.51172375011199e-268,0.396819431381461,0.329,0.069,2.97204889272017e-264,"Chir02Ox-b17320.2"
"Chir05Ox-b06930.2",3.63185055835345e-212,0.42455641803167,0.299,0.069,7.14021819772288e-208,"Chir05Ox-b06930.2"
"Chir03Ox-b24290.2",6.08452817441043e-133,0.389625634651935,0.25,0.069,1.19621823908909e-128,"Chir03Ox-b24290.2"
"Chir02Ox-b03080.2",8.36148943351084e-179,1.4425632114777,0.278,0.07,1.64386882262823e-174,"Chir02Ox-b03080.2"
"Chir04Ox-b23830.2",1.14077998442183e-138,0.253630500899931,0.253,0.07,2.24277344937332e-134,"Chir04Ox-b23830.2"
"Chir08Ox-b00970.2",1.36294107304745e-132,0.259026117174041,0.249,0.07,2.67954214961129e-128,"Chir08Ox-b00970.2"
"Chir07Ox-b09460.2",5.44972998430173e-45,0.326735746172945,0.173,0.07,1.07141691491372e-40,"Chir07Ox-b09460.2"
"Chir08Ox-b22680.2",0,0.940218827369163,0.535,0.072,0,"Chir08Ox-b22680.2"
"Chir05Ox-b27260.2",0,1.22060610016856,0.671,0.073,0,"Chir05Ox-b27260.2"
"Chir04Ox-b20710.2",7.7877497965003e-220,0.572507542750776,0.311,0.073,1.53107160999196e-215,"Chir04Ox-b20710.2"
"Chir05Ox-b27770.2",8.14175197591987e-139,0.287310917238677,0.265,0.073,1.60066843846585e-134,"Chir05Ox-b27770.2"
"Chir04Ox-b23600.2",0,0.389566206038192,0.377,0.074,0,"Chir04Ox-b23600.2"
"Chir02Ox-b08990.2",9.75748891524068e-290,0.405098063025121,0.353,0.074,1.91832232073632e-285,"Chir02Ox-b08990.2"
"Chir07Ox-b02980.2",1.16397011751767e-216,0.525458204215646,0.312,0.075,2.28836525103975e-212,"Chir07Ox-b02980.2"
"Chir02Ox-b16020.2",2.10235997153629e-134,0.529713929316277,0.262,0.075,4.13323970404034e-130,"Chir02Ox-b16020.2"
"Chir06Ox-b33460.2",7.20339867746436e-106,0.306918308632335,0.237,0.075,1.41618817998949e-101,"Chir06Ox-b33460.2"
"Chir07Ox-b11440.2",3.1593043239359e-82,1.03127122045149,0.216,0.075,6.21119230085797e-78,"Chir07Ox-b11440.2"
"Chir03Ox-b28360.2",1.44273527112896e-209,0.292003510082243,0.313,0.076,2.83641754303953e-205,"Chir03Ox-b28360.2"
"Chir07Ox-b14870.2",9.39668214461835e-118,0.291544511803609,0.253,0.076,1.84738770963197e-113,"Chir07Ox-b14870.2"
"Chir06Ox-b04670.2",1.28119779358421e-83,0.291525702269284,0.219,0.076,2.51883486218656e-79,"Chir06Ox-b04670.2"
"Chir04Ox-b10040.2",0,1.15774825994223,0.566,0.077,0,"Chir04Ox-b10040.2"
"Chir03Ox-b20920.2",9.41541453109791e-206,0.50528648304446,0.314,0.077,1.85107049681385e-201,"Chir03Ox-b20920.2"
"Chir01Ox-b41350.2",9.21558407677417e-62,0.345097964595189,0.201,0.077,1.8117838294938e-57,"Chir01Ox-b41350.2"
"Chir02Ox-b27870.2",1.70435701499243e-161,0.366348561494026,0.293,0.078,3.35076589147512e-157,"Chir02Ox-b27870.2"
"Chir07Ox-b17440.2",1.47341598591941e-141,0.276425528549608,0.272,0.078,2.89673582831756e-137,"Chir07Ox-b17440.2"
"Chir08Ox-b27800.2",1.6005916803117e-72,0.646379237770016,0.213,0.078,3.14676324349279e-68,"Chir08Ox-b27800.2"
"Chir06Ox-b20470.2",0,0.488218596885805,0.426,0.079,0,"Chir06Ox-b20470.2"
"Chir02Ox-b13940.2",0,0.421144393163918,0.398,0.08,0,"Chir02Ox-b13940.2"
"Chir01Ox-b27710.2",3.85869944455305e-258,0.687783237281271,0.346,0.08,7.5862031079913e-254,"Chir01Ox-b27710.2"
"Chir05Ox-b09690.2",1.16964772179737e-74,0.367261060644208,0.219,0.08,2.29952742105362e-70,"Chir05Ox-b09690.2"
"Chir03Ox-b19180.2",1.06673109220691e-160,0.352764089697913,0.291,0.081,2.09719332727878e-156,"Chir03Ox-b19180.2"
"Chir07Ox-b31310.2",9.58193500748445e-277,0.439582848955632,0.362,0.082,1.88380842247144e-272,"Chir07Ox-b31310.2"
"Chir08Ox-b26520.2",7.99445844739809e-139,0.303294359734625,0.277,0.082,1.57171053075846e-134,"Chir08Ox-b26520.2"
"Chir05Ox-b14840.2",2.48302635101346e-21,1.3514697054521,0.153,0.082,4.88162980609246e-17,"Chir05Ox-b14840.2"
"Chir01Ox-b12020.2",4.95385224513822e-160,0.37736346910927,0.291,0.083,9.73927351394174e-156,"Chir01Ox-b12020.2"
