gene_id,PR05826,PR05827,PR05851,,Genotype,BLS:STM
AT5G46310,0,0,0,,,
AT5G46320,0,0,0,,,
AT5G46330,3.883477584,6.136701042,20.11334619,,,
AT5G46340,6.205602712,8.639609227,8.372032127,,,
AT5G46350,1.964627234,2.334312249,3.613298269,,,
AT5G46360,0,0,0,,,
AT5G46370,0,0,0,,,
AT5G46380,0.085212371,0,0,,,
AT5G46390,13.08973312,12.01423594,14.79675808,,,
AT5G46400,5.90534055,7.512099954,5.144523292,,,
AT5G46410,14.26167937,14.41478572,11.90871807,,,
AT5G46417,0,0,0,,,
AT5G46420,57.78222195,55.5118639,51.38000645,,,
AT5G46430,1643.431727,1730.072588,1283.217285,,,
AT5G46440,1.543250425,0,0,,,
AT5G46450,2.848579807,2.297811949,5.38341697,,,
AT5G46460,3.043229194,2.90623112,2.693031955,,,
AT5G46470,5.134982069,6.906070614,3.761377103,,,
AT5G46490,0.205065207,0.133900859,1.208766624,,,
AT5G46500,0,0,0.171313402,,,
AT5G46510,5.930881697,5.228219901,4.059077481,,,
AT5G46520,0.150685212,0.527741615,0.964791944,,,
AT5G46530,1.639529158,4.434059916,7.704766045,,,
AT5G46540,0,0,0,,,
AT5G46550,17.39530501,20.84950724,12.18799682,,,
AT5G46560,9.801003895,10.4564398,10.51987917,,,
AT5G46570,22.4999613,23.96445285,12.7873218,,,
AT5G46580,24.65299204,28.96081361,23.18240867,,,
AT5G46590,2.581614923,4.853501069,0.855397636,,,
AT5G46600,1.343199444,0.290456661,2.088595894,,,
AT5G46610,0,0,0,,,
AT5G46620,32.6742859,18.05478606,12.29287869,,,
AT5G46630,59.45155289,61.95795439,28.71650592,,,
AT5G46640,10.22795058,12.40182395,6.846338699,,,
AT5G46650,0,0,0,,,
AT5G46660,0,0,0,,,
AT5G46670,0,0,0,,,
AT5G46680,1.502354054,2.385584347,1.717699943,,,
AT5G46690,26.41001555,34.7804141,27.50833616,,,
AT5G46700,36.30476211,43.18122363,27.18489893,,,
AT5G46710,18.03048719,15.52343706,10.56784832,,,
AT5G46720,1.82509405,0.475292718,2.339498647,,,
AT5G46730,1.958420397,1.581042444,6.275015645,,,
AT5G46740,8.255532579,11.14117256,9.085453195,,,
AT5G46750,37.84765594,34.6385785,30.56265101,,,
AT5G46760,35.12186645,34.33168347,27.3514991,,,
AT5G46770,0,0,0,,,
AT5G46780,18.45972057,17.44204454,36.85757459,,,
AT5G46790,42.33411992,35.93812418,22.90197814,,,
AT5G46795,0,0,0,,,
AT5G46800,65.23474091,53.01171807,50.37610029,,,
AT5G46810,0,0,0,,,
AT5G46820,0,0,0,,,
AT5G46830,2.266649062,1.735932389,0.979029325,,,
AT5G46840,76.51649923,85.67198587,55.2045494,,,
AT5G46850,11.02930376,16.16578423,9.39044429,,,
AT5G46860,45.18371703,38.3273221,40.06377253,,,
AT5G46870,3.115548517,1.766290507,0.483844609,,,
AT5G46871,0,0,0,,,
AT5G46873,0,0,0,,,
AT5G46874,0,0,0,,,
AT5G46877,0,0,0,,,
AT5G46880,15.81211879,18.51055365,6.580754724,,,
AT5G46890,0,0,0,,,
AT5G46900,0,0,0,,,
AT5G46910,7.363732992,4.989367215,1.68117581,,,
AT5G46915,1.54172472,4.197048502,0.433618525,,,
AT5G46920,10.23511719,11.7777019,6.105251195,,,
AT5G46930,0,0,0,,,
AT5G46940,0,0,0,,,
AT5G46950,0,0,0,,,
AT5G46960,0,0,0,,,
AT5G46970,0,0,0,,,
AT5G46980,0,0,0,,,
AT5G46990,0,0,0,,,
AT5G47000,0.030930819,0,0,,,
AT5G47010,26.08207403,26.9534524,16.20474628,,,
AT5G47020,25.05929234,21.82469292,16.25302772,,,
AT5G47030,257.9789487,257.7204869,225.4454979,,,
AT5G47040,28.28812996,29.14629677,20.11737713,,,
AT5G47050,9.122536328,10.21326678,8.861911385,,,
AT5G47060,31.7258103,43.52933648,23.03154701,,,
AT5G47070,9.328162978,7.479789056,13.37224065,,,
AT5G47075,0,0,0,,,
AT5G47077,0,0,0,,,
AT5G47080,46.62820927,44.47617624,18.0265717,,,
AT5G47090,18.6246295,9.952109908,25.84601441,,,
AT5G47100,24.25828956,26.97175127,13.88679246,,,
AT5G47110,339.2597294,329.3172952,370.8323321,,,
AT5G47120,54.27423283,44.43986916,48.72588346,,,
AT5G47130,0.16534826,0.500574246,1.428371052,,,
AT5G47140,5.059914193,4.151495208,7.715831964,,,
AT5G47150,0,0,0,,,
AT5G47160,7.347928277,6.409596513,2.582055363,,,
AT5G47170,1.097941646,0.900223294,1.422695405,,,
AT5G47175,0,0,0,,,
AT5G47180,18.47311659,22.99470472,19.27934671,,,
AT5G47190,244.9445157,257.4102703,229.7714936,,,
AT5G47200,86.72285445,96.63192645,84.04357016,,,
AT5G47210,508.4240372,503.0482199,313.7394406,,,
AT5G47220,3.100053986,1.242773583,28.540883,,,
AT5G47229,0,0,0,,,
AT5G47230,0.791767304,0.660041051,4.817549142,,,
AT5G47240,8.121429842,7.319507861,55.06151645,,,
AT5G47250,1.681954889,1.486697602,2.58776607,,,
AT5G47260,0,0,0,,,
AT5G47280,0,0,0,,,
AT5G47290,0,0,0,,,
AT5G47300,0,0,0,,,
AT5G47306,0,0,0,,,
AT5G47310,80.03035014,74.68278346,65.85990536,,,
AT5G47320,62.36553394,57.78042088,37.0652229,,,
AT5G47330,9.868404078,5.477182754,39.6122813,,,
AT5G47340,0,0,0,,,
AT5G47350,0,0,0,,,
AT5G47360,2.276132949,4.4844564,2.659120893,,,
AT5G47370,19.59260436,17.5255822,7.816475578,,,
AT5G47380,16.78983805,18.27765406,9.399404552,,,
AT5G47390,36.88922688,39.96874121,29.15229866,,,
AT5G47400,5.751232712,5.076765095,4.667446543,,,
AT5G47420,17.8677394,10.0130572,13.28435551,,,
AT5G47430,15.8270194,13.54770532,16.1781816,,,
AT5G47435,72.50078903,74.13099452,92.27394557,,,
AT5G47440,0.712852776,0.205531986,1.099646838,,,
AT5G47450,0,0,0,,,
AT5G47455,59.51406767,68.19028691,56.00191187,,,
AT5G47460,1.939474909,1.7578417,2.171850149,,,
AT5G47470,0.369051276,0,0,,,
AT5G47480,12.55537109,13.12666314,11.7934885,,,
AT5G47490,5.211343343,7.66191404,5.086762812,,,
AT5G47500,266.781294,292.6938976,103.3201511,,,
AT5G47510,8.465363073,5.574918834,4.03631643,,,
AT5G47520,35.65961149,22.04330553,28.86939498,,,
AT5G47530,0,0,0.632907847,,,
AT5G47540,7.650881882,8.754228672,14.83180639,,,
AT5G47550,7.91879254,6.205854517,12.95366094,,,
AT5G47560,2.336677564,2.435326091,2.978193247,,,
AT5G47570,245.5587881,245.7263354,211.132891,,,
AT5G47580,3.818242325,6.058871661,6.357808595,,,
AT5G47590,0.351911013,0.907540058,0,,,
AT5G47600,8.791850906,13.30819611,0,,,
AT5G47610,3.288483155,3.694191307,8.254331077,,,
AT5G47620,23.94174817,24.73615936,34.42437159,,,
AT5G47630,31.24247018,19.5662169,27.93836066,,,
AT5G47635,0,0,0,,,
AT5G47640,18.98763612,21.84355749,46.58334297,,,
AT5G47650,11.32744231,12.81757137,10.77984977,,,
AT5G47660,18.12670012,18.39704446,10.05038626,,,
AT5G47670,0,0,1.675955368,,,
AT5G47680,74.42492919,61.31413832,49.39983331,,,
AT5G47690,37.99979962,37.75503078,20.9861581,,,
AT5G47700,1281.775842,1289.352406,1155.637382,,,
AT5G47710,31.33366025,31.30670599,18.11664873,,,
AT5G47720,8.842422163,5.454440954,6.799412456,,,
AT5G47730,17.93625724,17.64142037,19.99608099,,,
AT5G47740,0,0,0,,,
AT5G47750,32.85068993,30.95961223,25.34373114,,,
AT5G47760,20.55209518,17.20811451,13.45632738,,,
AT5G47770,73.17870187,62.87443673,67.6100578,,,
AT5G47780,47.71141456,47.87591968,45.32141865,,,
AT5G47790,10.05377005,8.167327305,6.580286676,,,
AT5G47800,3.996703651,3.678426145,7.001058684,,,
AT5G47810,5.402119625,3.360159307,6.597683337,,,
AT5G47820,14.99263957,12.45487135,11.35306814,,,
AT5G47830,23.64163356,29.0857291,29.01399222,,,
AT5G47840,85.7404474,88.18018777,126.3243311,,,
AT5G47850,0,0,0,,,
AT5G47860,11.87292366,12.17497505,11.7690721,,,
AT5G47870,46.31735454,38.37513407,29.71773586,,,
AT5G47880,18.63705695,18.68759608,20.07346168,,,
AT5G47890,352.6192243,353.1715892,338.4986756,,,
AT5G47900,10.03287748,8.488447731,9.336774646,,,
AT5G47910,3.731155815,3.334266054,6.058028374,,,
AT5G47920,0.275580433,0,4.570787366,,,
AT5G47928,0,0,0,,,
AT5G47930,1499.782637,1413.710661,1012.003691,,,
AT5G47940,4.863149529,6.622411875,6.158374178,,,
AT5G47950,0,0,0,,,
AT5G47960,0.601355873,0.560166418,1.27873218,,,
AT5G47970,19.1213046,15.81940764,13.74966663,,,
AT5G47980,0,0,0,,,
AT5G47990,0,0,0,,,
AT5G48000,0,0,0,,,
AT5G48010,0,0,0.210065521,,,
AT5G48020,32.97737896,33.60159307,31.98267227,,,
