GeneID,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value
Chir02Ox_b19780.2,2.313954084,4.30E-09
Chir03Ox_b15000.2,2.489893458,4.48E-09
Chir02Ox_b16220.2,1.972310007,4.65E-09
Chir06Ox_b16600.2,1.825737727,4.81E-09
Chir01Ox_b11870.2,2.083751388,4.89E-09
Chir02Ox_b22010.2,2.039714397,5.30E-09
Chir06Ox_b29710.2,2.110106772,5.33E-09
Chir03Ox_b04560.2,2.346055852,5.49E-09
Chir01Ox_b23490.2,2.228392879,5.49E-09
Chir02Ox_b01810.2,2.091754111,5.72E-09
Chir04Ox_b06610.2,2.112315588,5.89E-09
Chir03Ox_b15300.2,2.023892152,6.36E-09
Chir01Ox_b24300.2,1.932485121,6.94E-09
Chir01Ox_b01520.2,4.143610588,7.13E-09
Chir06Ox_b34700.2,2.032095931,7.48E-09
Chir03Ox_b20760.2,2.724023993,7.79E-09
Chir01Ox_b27140.2,2.470740395,7.95E-09
Chir08Ox_b01280.2,1.936669144,8.88E-09
Chir02Ox_b00390.2,1.915375779,9.43E-09
Chir08Ox_b16450.2,2.80682576,9.44E-09
Chir04Ox_b30070.2,2.971478455,1.04E-08
Chir01Ox_b06540.2,2.855526877,1.05E-08
Chir07Ox_b14280.2,3.149746389,1.06E-08
Chir01Ox_b19180.2,2.167713394,1.06E-08
Chir08Ox_b01180.2,2.273562924,1.15E-08
Chir05Ox_b28310.2,2.366019617,1.29E-08
Chir06Ox_b09550.2,2.846693048,1.32E-08
Chir01Ox_b20360.2,2.28761887,1.42E-08
Chir06Ox_b05300.2,2.084122345,1.49E-08
Chir07Ox_b01250.2,2.013779111,1.59E-08
Chir04Ox_b30110.2,2.896098523,1.77E-08
Chir07Ox_b18070.2,3.516051321,1.88E-08
Chir02Ox_b16380.2,2.042749587,1.94E-08
Chir04Ox_b15170.2,1.723890308,2.06E-08
Chir05Ox_b09320.2,1.87105566,2.29E-08
Chir01Ox_b40620.2,1.827998137,2.29E-08
Chir05Ox_b21500.2,3.210768649,2.38E-08
Chir04Ox_b29410.2,2.000101321,2.45E-08
Chir01Ox_b03250.2,1.528958052,2.46E-08
Chir08Ox_b21820.2,3.102232583,2.61E-08
Chir01Ox_b01150.2,1.84477105,2.61E-08
Chir02Ox_b02170.2,1.805005107,2.61E-08
Chir02Ox_b01350.2,1.820117237,2.64E-08
Chir08Ox_b06930.2,2.255718675,2.73E-08
Chir07Ox_b35660.2,2.110378409,2.73E-08
Chir01Ox_b44610.2,1.65960097,2.73E-08
Chir07Ox_b35120.2,2.412625495,2.75E-08
Chir01Ox_b00470.2,2.60221629,2.81E-08
Chir08Ox_b26780.2,1.864660751,2.81E-08
Chir04Ox_b21380.2,2.704396271,2.86E-08
Chir02Ox_b16910.2,2.053938044,2.95E-08
Chir01Ox_b41530.2,1.93800565,2.95E-08
Chir08Ox_b25020.2,3.733053542,3.01E-08
Chir05Ox_b01980.2,1.963263336,3.20E-08
Chir02Ox_b17680.2,2.295259455,3.21E-08
Chir01Ox_b00600.2,1.785651871,3.21E-08
Chir08Ox_b16920.2,1.754520566,3.46E-08
Chir08Ox_b24590.2,1.838907078,3.97E-08
Chir08Ox_b02350.2,1.935399439,4.24E-08
Chir03Ox_b28090.2,1.902225877,4.50E-08
Chir07Ox_b31600.2,2.46268116,4.69E-08
Chir01Ox_b43150.2,4.04886747,4.82E-08
Chir06Ox_b03580.2,1.84985077,5.16E-08
Chir03Ox_b35570.2,2.518629338,5.17E-08
Chir08Ox_b06770.2,1.847562828,5.17E-08
Chir01Ox_b17460.2,1.795842198,5.17E-08
Chir06Ox_b13900.2,2.217902774,5.65E-08
Chir02Ox_b21330.2,2.391760338,5.92E-08
Chir01Ox_b01510.2,2.836628398,5.98E-08
Chir08Ox_b20630.2,2.297838645,6.12E-08
Chir07Ox_b14340.2,1.934635527,6.23E-08
Chir05Ox_b03170.2,3.023925641,6.33E-08
Chir05Ox_b16450.2,2.012635017,6.34E-08
Chir07Ox_b27480.2,2.250800405,6.43E-08
Chir03Ox_b06960.2,1.917871667,7.15E-08
Chir07Ox_b19280.2,2.350706277,7.22E-08
Chir03Ox_b27580.2,2.708909638,7.37E-08
Chir01Ox_b32770.2,1.698517796,7.50E-08
Chir03Ox_b12790.2,1.829611099,7.56E-08
Chir02Ox_b20260.2,1.750839622,7.56E-08
Chir07Ox_b34260.2,2.41366514,7.62E-08
Chir04Ox_b29140.2,1.9491373,8.14E-08
Chir03Ox_b20290.2,2.599154463,8.23E-08
Chir05Ox_b01860.2,1.8515408,8.67E-08
Chir04Ox_b30050.2,3.486661822,8.90E-08
Chir01Ox_b21930.2,1.926819626,9.00E-08
Chir07Ox_b21620.2,2.417480175,9.01E-08
Chir08Ox_b25900.2,1.934452291,9.39E-08
Chir06Ox_b00600.2,2.103186295,1.05E-07
Chir06Ox_b00590.2,2.010373421,1.06E-07
Chir02Ox_b25090.2,1.657896831,1.07E-07
Chir05Ox_b21190.2,3.081582687,1.11E-07
Chir02Ox_b21390.2,2.815916379,1.13E-07
Chir03Ox_b07420.2,1.720321871,1.15E-07
Chir06Ox_b22400.2,2.415749267,1.16E-07
Chir07Ox_b05390.2,3.659933569,1.18E-07
Chir07Ox_b30600.2,2.157492909,1.27E-07
Chir05Ox_b17900.2,2.416674355,1.29E-07
Chir06Ox_b37710.2,3.807378641,1.35E-07
Chir03Ox_b12590.2,1.670568188,1.35E-07
Chir01Ox_b14850.2,1.768179768,1.48E-07
Chir07Ox_b24560.2,2.195442332,1.54E-07
Chir02Ox_b19660.2,2.98230896,1.63E-07
Chir04Ox_b29230.2,1.862084423,1.67E-07
Chir01Ox_b13760.2,1.665735079,1.67E-07
Chir02Ox_b23490.2,1.677914176,1.70E-07
Chir04Ox_b27680.2,2.045951006,1.73E-07
Chir06Ox_b12480.2,2.543424235,1.91E-07
Chir03Ox_b04980.2,1.657330343,2.11E-07
Chir06Ox_b34130.2,1.75200754,2.25E-07
Chir02Ox_b11760.2,2.05196277,2.36E-07
Chir07Ox_b21450.2,2.189914338,2.53E-07
Chir08Ox_b17070.2,3.264800999,2.54E-07
Chir03Ox_b14480.2,2.00858109,2.59E-07
Chir01Ox_b16160.2,2.000240112,2.70E-07
Chir01Ox_b05390.2,1.759980171,2.72E-07
Chir07Ox_b19510.2,1.859724243,2.76E-07
Chir06Ox_b18130.2,1.459921914,2.86E-07
Chir07Ox_b26680.2,2.40564644,2.96E-07
Chir06Ox_b18790.2,2.572311399,3.03E-07
Chir02Ox_b18110.2,3.21115046,3.20E-07
Chir06Ox_b32830.2,2.327107278,3.20E-07
Chir06Ox_b26390.2,1.698587055,3.38E-07
Chir02Ox_b27880.2,2.314230693,3.53E-07
Chir06Ox_b20830.2,2.188846555,3.67E-07
Chir03Ox_b07330.2,1.578902801,3.81E-07
Chir03Ox_b09500.2,1.682023395,4.10E-07
Chir04Ox_b15460.2,1.800589919,4.23E-07
Chir03Ox_b21130.2,1.874738966,4.46E-07
Chir04Ox_b16830.2,1.672961096,4.46E-07
Chir08Ox_b15450.2,1.868849575,4.48E-07
Chir06Ox_b00800.2,1.914235529,4.97E-07
Chir03Ox_b09490.2,3.155482402,4.99E-07
Chir05Ox_b16280.2,1.614083964,5.68E-07
Chir03Ox_b12260.2,1.781975614,5.94E-07
Chir03Ox_b02250.2,1.614888478,6.51E-07
Chir01Ox_b36020.2,1.595909734,6.94E-07
Chir08Ox_b17100.2,1.619498159,7.15E-07
Chir02Ox_b16390.2,3.671282469,7.21E-07
Chir03Ox_b10680.2,1.705277185,7.41E-07
Chir06Ox_b25780.2,2.682713047,7.83E-07
Chir05Ox_b01650.2,1.576672246,7.84E-07
Chir06Ox_b24720.2,2.341013759,8.24E-07
Chir07Ox_b31870.2,3.160304033,8.32E-07
Chir05Ox_b21260.2,1.615072647,8.66E-07
Chir01Ox_b22550.2,2.925953401,8.68E-07
Chir01Ox_b37000.2,2.552258945,8.91E-07
Chir07Ox_b05270.2,2.066009259,9.73E-07
Chir02Ox_b22930.2,1.620987662,1.00E-06
Chir06Ox_b27490.2,1.644069096,1.01E-06
Chir01Ox_b18340.2,1.712615478,1.06E-06
Chir07Ox_b36330.2,2.490507593,1.08E-06
Chir01Ox_b13830.2,1.551472368,1.09E-06
Chir06Ox_b31560.2,2.306647679,1.22E-06
Chir01Ox_b23200.2,1.893906206,1.23E-06
Chir06Ox_b37540.2,1.665383339,1.27E-06
Chir02Ox_b17180.2,1.753975195,1.30E-06
Chir05Ox_b20600.2,1.789157777,1.35E-06
Chir07Ox_b24920.2,1.706462367,1.46E-06
Chir01Ox_b02360.2,1.538878983,1.47E-06
Chir06Ox_b05770.2,3.895495282,1.50E-06
Chir06Ox_b12410.2,2.007615344,1.54E-06
Chir02Ox_b14110.2,1.608697128,1.54E-06
Chir01Ox_b04930.2,2.392535154,1.56E-06
Chir07Ox_b22420.2,1.612234185,1.63E-06
Chir07Ox_b23830.2,1.577322135,1.64E-06
Chir03Ox_b23000.2,2.279521954,1.65E-06
Chir05Ox_b15090.2,1.571920988,1.65E-06
Chir02Ox_b27340.2,1.624421223,1.76E-06
Chir03Ox_b07940.2,1.548077327,1.80E-06
Chir07Ox_b32320.2,2.066015141,1.81E-06
Chir06Ox_b00730.2,1.659773786,1.85E-06
Chir06Ox_b15160.2,1.882274567,1.89E-06
Chir02Ox_b04700.2,3.241233593,1.98E-06
Chir06Ox_b05260.2,2.581771444,2.02E-06
Chir02Ox_b18860.2,1.605633121,2.04E-06
Chir02Ox_b01770.2,2.02348744,2.05E-06
Chir05Ox_b19340.2,2.354533935,2.13E-06
Chir07Ox_b24120.2,1.563412021,2.24E-06
Chir04Ox_b13900.2,1.839824005,2.26E-06
Chir05Ox_b14560.2,2.14595507,2.39E-06
Chir02Ox_b01480.2,1.889169295,2.41E-06
Chir08Ox_b29890.2,1.934705213,2.49E-06
Chir01Ox_b38380.2,3.63422203,2.55E-06
Chir06Ox_b23950.2,1.634998281,2.55E-06
Chir01Ox_b26940.2,1.889090355,2.57E-06
Chir06Ox_b14950.2,1.926976901,2.88E-06
Chir04Ox_b23710.2,1.559219917,2.88E-06
Chir01Ox_b12490.2,4.40459788,2.89E-06
Chir04Ox_b04720.2,1.6024632,2.98E-06
Chir01Ox_b01780.2,1.682920853,3.02E-06
Chir08Ox_b14050.2,2.902282104,3.05E-06
Chir02Ox_b11880.2,3.569764642,3.16E-06
Chir07Ox_b13980.2,2.459928221,3.19E-06
Chir03Ox_b22950.2,2.336831985,3.25E-06
Chir07Ox_b35150.2,2.88550589,3.28E-06
Chir01Ox_b27450.2,1.964373863,3.39E-06
Chir02Ox_b27860.2,2.18260103,3.40E-06
Chir08Ox_b02490.2,3.013566319,3.59E-06
Chir08Ox_b16120.2,1.539540941,3.61E-06
Chir03Ox_b17360.2,2.414272021,3.64E-06
Chir04Ox_b02190.2,2.671617362,3.72E-06
Chir01Ox_b23640.2,1.734484714,3.73E-06
Chir07Ox_b13660.2,1.781991937,3.91E-06
Chir04Ox_b22820.2,2.846299888,4.06E-06
Chir08Ox_b23260.2,1.562544136,4.08E-06
Chir02Ox_b06480.2,1.638760575,4.13E-06
Chir05Ox_b01960.2,2.476273319,4.27E-06
Chir08Ox_b21010.2,1.574872344,4.27E-06
Chir04Ox_b26160.2,1.463910677,4.34E-06
Chir03Ox_b11930.2,1.585742069,4.35E-06
Chir07Ox_b31760.2,1.517137565,4.41E-06
Chir07Ox_b31250.2,2.481871043,4.45E-06
Chir04Ox_b29990.2,1.533939905,4.65E-06
Chir03Ox_b19670.2,1.510107894,4.68E-06
Chir08Ox_b30570.2,1.715126676,4.75E-06
Chir01Ox_b24060.2,2.572729606,4.97E-06
Chir08Ox_b00090.2,2.062479201,4.99E-06
Chir01Ox_b11460.2,2.087196532,5.17E-06
Chir05Ox_b24920.2,1.445900666,5.19E-06
Chir01Ox_b18750.2,1.563291751,5.28E-06
Chir05Ox_b20470.2,1.642181668,5.50E-06
Chir05Ox_b23200.2,2.021398216,5.52E-06
Chir03Ox_b11000.2,1.442783361,5.67E-06
Chir06Ox_b07970.2,3.572177812,5.90E-06
Chir07Ox_b33500.2,2.274666838,6.02E-06
Chir08Ox_b01150.2,1.451928166,6.09E-06
Chir04Ox_b20060.2,2.511626764,6.13E-06
Chir07Ox_b33460.2,1.524370084,6.19E-06
Chir01Ox_b20640.2,2.130387008,6.38E-06
Chir03Ox_b13560.2,1.765929946,6.38E-06
Chir02Ox_b04730.2,1.696214588,6.45E-06
Chir08Ox_b19140.2,1.440846656,6.58E-06
Chir08Ox_b14350.2,1.509629127,6.97E-06
Chir06Ox_b25590.2,2.818753525,7.20E-06
Chir03Ox_b03170.2,2.37882784,7.31E-06
